temperature_C,pressure_psi,vibration_level,run_hours_since_service,fuel_flow_rate,water_level_percent,ambient_temp_C,days_to_failure,failure_within_7_days
174.2,214.2,0.377,238.0,78.3,72.5,32.7,22.0,0
168.0,241.0,0.702,71.0,52.7,75.0,27.3,33.7,0
217.0,191.6,0.257,444.0,105.6,57.8,37.8,0.0,1
179.7,264.0,0.619,508.0,94.9,76.2,30.3,0.0,1
158.8,272.7,0.626,268.0,75.8,70.9,37.1,7.7,0
196.5,233.1,0.765,414.0,69.9,64.5,34.6,0.0,1
155.6,305.1,1.19,244.0,84.8,55.1,27.2,16.1,0
184.2,207.1,0.598,59.0,82.4,72.3,35.0,23.2,0
140.8,198.7,0.373,5.0,86.5,75.9,28.0,32.8,0
153.4,257.9,0.494,569.0,69.9,53.3,32.4,0.0,1
183.9,286.6,0.058,406.0,93.2,72.2,30.2,3.3,1
194.8,308.9,0.326,216.0,74.3,73.3,37.4,6.2,1
183.4,233.9,0.398,25.0,88.2,65.9,35.2,31.3,0
177.7,287.8,0.369,4.0,70.4,76.2,31.8,32.7,0
174.0,248.7,0.538,531.0,111.8,70.5,27.9,0.0,1
150.4,244.0,0.294,389.0,88.3,75.1,24.4,5.4,1
165.6,280.9,0.78,570.0,114.6,77.9,32.8,0.0,1
170.8,272.8,0.5,447.0,89.9,77.9,28.2,0.0,1
201.1,194.8,0.498,145.0,73.3,83.2,20.7,21.5,0
186.9,301.7,0.418,387.0,90.0,75.7,24.0,0.0,1
144.7,298.3,0.539,248.0,90.8,66.8,41.8,14.1,0
186.5,228.1,0.706,525.0,84.5,64.9,28.0,0.0,1
172.3,263.9,0.283,461.0,87.6,60.3,38.5,5.1,1
166.5,267.3,0.335,12.0,89.1,73.7,29.9,28.9,0
192.2,259.1,0.424,383.0,68.1,86.5,39.4,6.8,1
200.6,230.7,0.164,555.0,67.2,68.1,39.0,0.0,1
198.6,226.5,0.295,398.0,70.5,76.9,27.0,0.0,1
163.2,249.1,0.381,18.0,81.5,63.7,20.1,26.6,0
173.8,291.0,0.719,574.0,77.3,74.1,20.6,0.0,1
186.6,269.0,0.566,490.0,68.3,85.9,27.1,0.0,1
199.5,237.0,0.548,418.0,89.3,79.5,43.3,1.2,1
170.4,277.0,0.713,336.0,83.4,54.7,29.5,4.5,1
176.3,150.3,0.466,418.0,82.0,78.3,32.9,0.1,1
157.9,290.2,0.598,121.0,76.9,78.8,39.8,22.2,0
156.1,189.1,0.474,234.0,75.5,73.9,32.7,0.0,1
196.3,237.3,0.566,43.0,69.9,79.3,32.5,20.4,0
207.1,210.8,0.354,316.0,91.2,62.8,35.7,7.0,1
178.6,204.7,0.11,380.0,71.6,72.7,33.7,1.8,1
200.1,290.6,0.466,144.0,82.5,84.2,31.4,16.6,0
187.2,233.6,0.856,326.0,99.9,83.2,27.7,4.8,1
167.1,262.1,0.732,362.0,76.0,78.0,32.5,6.1,1
187.2,248.4,0.741,49.0,91.5,62.3,38.6,26.2,0
210.8,266.7,0.809,64.0,86.8,60.6,42.7,18.0,0
179.3,252.7,0.522,354.0,83.7,73.3,33.8,6.4,1
211.3,205.1,0.549,163.0,85.2,74.0,36.5,20.0,0
127.6,284.9,0.346,140.0,78.9,70.9,33.6,24.9,0
196.4,232.7,0.421,127.0,80.4,72.25,31.5,16.2,0
181.7,195.5,0.654,397.0,73.4,76.8,35.1,5.2,1
174.0,235.0,0.801,462.0,80.5,73.2,39.1,4.9,1
181.8,302.5,0.465,186.0,73.0,75.2,26.7,12.3,0
140.2,279.8,0.387,189.0,92.1,78.5,23.3,16.8,0
175.6,237.8,0.5,387.0,59.6,69.0,28.8,3.5,1
187.1,237.8,0.65,428.0,85.8,66.6,33.3,0.0,1
209.6,238.7,0.139,283.0,84.0,84.2,37.2,10.0,0
169.6,322.7,0.074,236.0,83.0,63.7,26.1,16.6,0
163.8,263.4,0.362,193.0,92.3,66.8,17.1,18.5,0
170.0,265.1,0.195,286.0,76.6,85.6,28.9,17.2,0
198.3,286.1,0.373,135.0,83.1,66.0,30.8,14.7,0
186.6,258.4,0.463,170.0,59.4,70.9,25.0,18.0,0
169.4,240.9,0.387,158.0,75.0,67.5,27.5,15.4,0
190.3,243.1,0.863,200.0,90.3,52.4,37.2,12.5,0
181.9,247.5,0.582,486.0,63.9,70.6,32.5,0.0,1
199.4,248.7,0.575,556.0,81.9,60.9,34.1,0.0,1
166.0,275.5,0.656,582.0,71.9,74.8,29.9,0.0,1
173.4,251.8,0.215,503.0,78.7,84.2,32.25,0.0,1
172.2,275.6,0.76,370.0,72.6,47.6,29.8,2.2,1
150.7,247.2,0.481,102.0,65.0,67.5,35.0,30.3,0
185.9,252.8,0.668,124.0,84.6,77.0,23.1,30.0,0
185.2,180.1,0.232,312.0,79.4,48.0,41.9,5.9,1
180.1,282.1,0.112,457.0,87.4,86.7,35.4,0.6,1
175.3,262.1,0.704,229.0,89.5,76.2,28.8,15.5,0
151.7,284.9,0.594,196.0,94.7,83.9,36.9,26.1,0
171.6,148.6,0.274,422.0,81.6,65.8,39.3,3.0,1
173.1,252.0,0.283,571.0,95.2,67.1,30.0,0.0,1
164.0,245.1,0.781,170.0,68.3,70.2,30.7,25.0,0
176.8,288.8,0.203,381.0,90.9,95.5,41.0,4.5,1
188.1,213.6,0.911,172.0,85.5,86.5,44.7,12.0,0
217.7,271.4,0.275,452.0,82.8,73.5,32.2,0.0,1
183.5,213.1,0.66,349.0,85.3,74.8,25.1,4.7,1
185.2,228.2,0.418,493.0,68.5,79.0,29.2,0.0,1
178.5,317.0,0.651,3.0,65.6,98.3,38.2,36.7,0
141.6,243.3,0.364,92.0,100.5,76.2,25.8,32.5,0
179.5,257.6,0.459,5.0,78.0,72.5,30.8,30.3,0
181.2,280.5,0.51,287.0,77.8,68.3,33.8,13.6,0
229.3,267.3,0.249,145.0,66.8,74.6,26.5,13.0,0
176.2,255.3,0.685,423.0,62.2,65.5,38.6,0.0,1
186.0,262.8,0.372,456.0,78.9,77.5,36.2,0.0,1
179.3,334.1,0.443,201.0,75.9,56.2,44.1,19.8,0
156.6,248.0,0.251,211.0,80.0,69.1,36.7,9.7,0
202.9,257.0,0.5,5.0,81.0,80.1,26.2,26.4,0
195.0,286.8,0.452,375.0,109.9,76.1,35.2,14.0,0
195.8,288.7,1.103,446.0,75.9,66.9,37.9,0.0,1
161.8,291.5,0.696,105.0,99.0,69.4,38.2,24.5,0
208.1,272.4,0.495,400.0,99.7,83.4,27.3,0.0,1
152.0,210.0,0.434,95.0,89.0,58.7,26.6,32.9,0
191.7,307.2,0.506,387.0,77.2,58.7,25.2,4.9,1
223.8,209.9,0.637,451.0,63.7,61.8,41.6,0.0,1
160.2,260.6,0.205,415.0,85.7,71.9,35.7,4.1,1
168.7,223.6,0.779,503.0,92.2,57.1,27.1,0.0,1
182.0,247.8,0.679,453.0,101.0,82.5,32.8,0.0,1
169.9,261.5,0.68,290.0,68.6,61.8,31.3,6.5,1
149.0,261.2,0.61,533.0,77.1,74.5,26.2,1.6,1
181.4,264.8,0.505,192.0,68.7,65.6,32.2,15.7,0
158.8,306.5,0.668,149.0,72.4,71.3,33.1,25.0,0
189.5,265.9,0.648,514.0,88.0,54.4,43.6,0.0,1
161.6,241.5,0.411,392.0,71.8,83.0,28.1,8.5,0
211.0,283.7,0.357,315.0,70.1,61.4,21.7,2.4,1
164.3,291.6,0.525,75.0,89.6,60.3,25.7,25.8,0
173.6,207.0,0.887,598.0,85.4,98.2,26.6,0.0,1
196.3,270.9,0.19,269.0,84.2,78.1,29.4,21.4,0
155.4,274.5,0.133,224.0,72.2,82.6,25.7,22.5,0
184.5,239.6,0.541,529.0,95.5,77.0,36.9,3.3,1
206.1,298.1,0.513,112.0,80.2,67.0,25.3,17.9,0
147.9,244.7,0.543,250.0,108.6,57.6,32.1,14.8,0
183.7,254.4,0.561,232.0,81.9,68.7,44.0,8.8,0
185.2,243.9,0.444,82.0,52.0,61.2,35.3,29.0,0
195.6,250.5,0.872,124.0,51.5,61.9,34.7,14.5,0
155.3,211.6,0.1,174.0,87.5,54.6,43.1,27.2,0
153.6,199.6,0.293,68.0,95.6,73.3,39.5,25.5,0
190.4,305.8,0.474,46.0,70.6,89.3,35.4,30.7,0
185.9,220.4,0.089,255.0,105.2,78.1,30.1,5.7,1
185.0,215.3,0.456,29.0,100.0,70.8,31.9,25.5,0
186.9,174.6,0.915,280.0,82.5,72.25,31.6,9.6,0
166.4,227.6,0.505,236.0,86.5,38.5,29.6,10.0,0
184.6,203.7,0.558,247.0,90.7,67.3,33.3,11.1,0
185.9,307.5,0.185,367.0,102.7,56.3,34.1,1.4,1
165.7,285.3,0.346,494.0,88.2,73.5,24.5,1.1,1
217.3,225.9,0.406,24.0,82.3,69.1,41.8,14.3,0
189.5,328.8,0.421,585.0,88.1,62.4,34.5,0.0,1
156.2,284.4,0.82,489.0,86.4,73.2,30.4,4.7,1
193.1,238.6,0.639,493.0,91.1,73.1,33.3,0.0,1
160.5,162.5,0.222,313.0,61.2,88.7,37.6,18.0,0
195.7,330.2,0.562,374.0,83.8,72.25,23.2,5.5,1
203.2,201.4,0.625,24.0,85.5,74.4,31.4,20.9,0
163.6,192.4,0.785,333.0,79.1,61.6,24.9,11.0,0
199.3,285.8,0.895,354.0,89.4,60.2,47.9,1.7,1
188.3,335.4,0.246,115.0,103.1,78.6,32.8,30.6,0
196.4,298.4,0.297,47.0,81.7,69.8,24.9,27.4,0
217.9,269.7,0.186,98.0,88.3,74.7,53.6,20.0,0
175.1,270.8,0.441,458.0,99.3,82.8,28.8,2.6,1
164.9,279.9,0.617,522.0,81.9,55.4,30.7,0.0,1
162.2,276.6,0.747,596.0,69.3,87.4,31.2,0.0,1
163.7,259.8,0.481,404.0,87.4,82.7,26.9,4.4,1
178.5,253.6,0.42,213.0,53.6,49.4,33.5,15.4,0
186.8,247.8,0.538,502.0,52.4,97.9,18.7,0.4,1
185.5,223.6,0.291,447.0,84.0,75.5,38.5,2.7,1
196.5,240.2,1.022,575.0,51.9,66.7,25.2,0.0,1
180.3,190.7,0.098,257.0,64.2,77.7,29.5,18.8,0
209.1,246.6,0.546,120.0,75.4,61.2,36.5,20.8,0
174.7,215.4,1.006,53.0,71.3,78.0,30.8,30.4,0
234.4,211.4,0.502,330.0,78.2,63.3,31.0,0.0,1
192.5,256.3,0.452,240.0,93.4,94.2,25.9,9.2,0
162.9,298.7,0.411,529.0,82.9,72.7,44.6,0.0,1
158.6,282.1,0.455,482.0,69.9,79.1,35.2,0.6,1
189.6,195.0,0.843,186.0,96.3,63.4,25.5,20.5,0
175.5,215.4,0.053,261.0,62.9,81.0,33.1,2.4,1
194.3,282.9,0.883,363.0,82.7,71.9,25.1,0.0,1
189.5,215.6,0.144,490.0,61.5,56.5,42.3,0.0,1
178.5,242.1,0.433,430.0,83.0,69.4,33.2,0.0,1
163.1,269.3,0.393,238.0,76.2,93.2,26.1,15.0,0
149.7,216.1,0.647,303.0,93.0,81.4,36.2,12.5,0
171.1,253.7,0.1,297.0,88.6,67.8,30.3,6.5,1
197.1,203.3,0.616,75.0,73.0,51.4,24.3,17.2,0
184.3,229.0,1.006,332.0,70.7,62.8,34.3,10.8,0
155.1,261.2,0.159,473.0,76.2,56.5,34.1,1.7,1
183.5,194.2,0.547,282.0,102.5,51.7,38.8,11.0,0
187.7,265.4,0.335,590.0,99.4,80.6,32.4,0.0,1
162.3,249.3,0.606,71.0,68.4,72.7,32.6,32.0,0
183.1,269.3,0.505,262.0,89.6,91.7,33.0,16.8,0
181.2,257.8,0.34,574.0,59.2,61.0,41.6,0.0,1
157.1,297.7,0.622,11.0,74.6,72.0,30.1,30.2,0
187.2,254.4,0.951,140.0,68.9,56.7,34.8,16.0,0
191.2,235.0,0.452,554.0,92.8,65.5,35.7,0.0,1
201.7,254.3,0.68,16.0,79.8,69.6,34.1,23.5,0
201.1,269.0,0.177,62.0,85.2,67.9,29.9,17.1,0
152.4,251.7,0.261,252.0,80.0,72.6,32.7,14.6,0
161.2,251.4,0.618,464.0,77.9,82.7,31.4,7.8,0
190.3,225.4,0.871,375.0,100.1,81.5,43.8,1.2,1
190.3,226.8,0.589,519.0,101.1,63.5,29.3,0.0,1
190.3,200.9,0.422,89.0,78.3,71.7,26.5,19.9,0
257.1,311.2,0.5,174.0,75.8,80.7,32.0,10.4,0
191.4,206.5,0.187,75.0,61.9,83.4,31.5,26.5,0
202.7,225.7,0.651,399.0,79.9,64.7,33.2,0.0,1
199.1,224.9,0.721,70.0,79.8,79.8,29.3,24.3,0
193.0,281.3,0.387,179.0,78.5,75.6,32.7,9.3,0
173.7,239.7,0.382,123.0,88.7,60.3,32.8,19.1,0
195.2,293.7,0.566,380.0,63.2,80.8,37.4,2.2,1
164.5,226.4,0.391,292.0,74.8,73.7,32.6,19.6,0
175.3,259.8,0.483,194.0,85.5,52.8,32.6,16.7,0
170.3,220.8,1.025,227.0,81.3,72.25,35.1,12.4,0
181.6,325.1,0.438,430.0,89.9,72.4,37.2,0.0,1
226.3,208.4,0.41,435.0,72.8,65.3,26.1,0.0,1
142.7,260.8,0.338,460.0,59.0,85.5,24.5,1.9,1
193.7,272.2,0.686,20.0,93.5,85.9,42.2,32.5,0
147.7,264.5,0.455,63.0,68.8,67.8,36.2,28.1,0
170.6,243.5,0.338,164.0,86.1,66.6,30.7,15.9,0
201.8,245.5,0.83,26.0,85.4,70.6,32.1,23.0,0
181.3,251.5,0.855,310.0,60.0,69.8,29.6,1.6,1
158.4,244.9,0.35,284.0,92.6,65.5,33.3,4.2,1
165.7,283.7,0.033,280.0,73.2,31.2,26.2,8.3,0
193.6,327.4,0.752,163.0,80.7,91.3,37.0,18.4,0
165.4,230.5,0.329,223.0,75.7,72.0,33.1,17.8,0
184.3,202.1,0.698,145.0,99.5,70.0,33.3,18.9,0
180.9,246.9,0.007,29.0,96.1,75.6,26.6,37.7,0
167.0,340.3,0.723,44.0,58.3,71.1,35.1,29.7,0
222.9,221.9,0.197,470.0,107.1,67.3,26.8,0.0,1
192.7,307.4,0.683,33.0,71.9,60.9,27.8,20.4,0
139.5,308.7,0.504,426.0,105.2,51.8,32.5,4.4,1
183.7,230.6,0.262,220.0,76.9,57.1,47.0,11.0,0
166.8,269.9,0.398,533.0,75.9,59.7,33.0,0.0,1
197.0,307.0,0.672,366.0,77.0,79.2,16.6,2.5,1
164.1,236.7,0.526,549.0,75.2,80.0,28.1,0.0,1
177.7,242.9,0.646,581.0,110.3,62.3,36.1,0.0,1
190.1,229.6,0.994,115.0,79.1,42.7,25.2,14.0,0
197.3,214.5,0.109,238.0,76.4,72.1,37.0,9.3,0
156.0,227.3,0.904,334.0,80.9,67.4,33.0,16.3,0
173.3,207.2,0.526,440.0,68.4,67.1,37.9,1.2,1
170.5,251.2,0.275,147.0,99.2,82.5,28.6,18.7,0
166.9,223.1,0.167,8.0,62.3,73.5,28.2,28.9,0
215.3,258.2,0.453,287.0,72.6,61.3,35.4,0.0,1
188.1,195.5,0.73,387.0,91.2,58.7,32.0,0.9,1
154.8,261.6,0.468,49.0,80.5,69.1,31.6,34.4,0
198.4,279.2,0.878,516.0,86.6,62.0,41.4,0.0,1
222.4,180.2,0.137,586.0,98.4,71.2,35.6,0.0,1
200.6,263.1,0.497,277.0,92.0,83.3,20.1,12.3,0
149.6,293.0,0.187,299.0,81.6,56.8,36.8,13.0,0
170.3,207.7,0.591,588.0,105.1,73.0,36.2,0.0,1
205.3,308.5,0.722,134.0,72.5,82.1,39.1,16.4,0
165.8,264.7,0.395,579.0,78.8,71.1,26.4,0.0,1
188.9,225.3,0.151,305.0,79.6,79.9,33.9,22.0,0
195.5,248.0,0.55,489.0,78.8,68.8,32.7,0.0,1
161.5,269.5,0.609,477.0,67.2,73.9,26.3,0.0,1
178.8,252.7,0.601,158.0,61.0,76.8,37.7,21.5,0
115.2,268.9,0.809,383.0,85.0,65.7,30.6,5.2,1
159.5,217.8,0.232,162.0,72.4,93.9,38.9,18.8,0
174.9,255.9,0.67,440.0,102.9,78.4,27.5,5.7,1
155.0,200.5,0.798,188.0,79.1,86.3,23.2,22.7,0
212.6,246.1,0.055,414.0,77.0,83.8,30.5,0.0,1
151.4,218.4,0.58,338.0,93.1,75.6,33.4,11.7,0
171.2,224.3,0.374,180.0,84.8,87.2,28.8,23.1,0
182.6,293.3,0.48,287.0,77.9,74.1,13.6,14.4,0
208.8,288.2,0.587,186.0,72.3,64.0,34.3,7.6,0
151.3,271.3,0.378,137.0,123.9,72.2,34.3,20.8,0
203.3,211.8,0.331,129.0,84.3,60.9,36.1,19.0,0
180.2,238.9,0.5,193.0,93.0,48.9,29.7,16.9,0
160.4,292.5,0.228,315.0,67.7,62.6,29.4,4.8,1
189.2,255.0,0.229,143.0,73.1,72.8,40.6,14.9,0
184.0,331.2,0.67,15.0,105.3,83.7,22.5,28.9,0
168.0,263.8,0.213,301.0,96.8,62.6,30.5,10.1,0
180.45,256.7,0.667,422.0,85.5,83.1,32.9,1.8,1
172.3,239.2,0.616,244.0,75.4,58.7,35.6,7.5,0
182.3,254.7,0.069,106.0,77.2,61.9,33.0,21.6,0
193.2,244.7,0.331,87.0,71.9,87.9,26.5,20.9,0
211.7,274.8,0.799,128.0,66.1,72.5,39.0,11.9,0
155.2,283.5,0.255,340.0,79.8,70.1,32.0,9.9,0
222.7,222.5,0.384,3.0,86.5,72.25,22.0,23.4,0
141.0,203.4,0.616,326.0,88.8,58.7,33.3,15.1,0
177.0,185.7,0.696,409.0,76.0,68.4,34.9,0.0,1
191.8,267.8,0.437,305.0,83.1,72.0,43.8,8.0,0
185.6,211.4,0.351,224.0,74.8,85.5,34.5,8.8,0
167.5,174.6,0.5,347.0,71.3,53.6,23.1,4.8,1
175.8,263.6,0.935,320.0,100.0,91.4,23.3,12.2,0
170.1,337.3,0.745,558.0,81.5,70.6,39.6,0.0,1
168.2,249.8,0.521,180.0,86.1,59.8,27.2,20.4,0
197.0,279.3,0.298,385.0,90.0,57.8,22.7,2.5,1
187.1,252.9,0.292,107.0,79.8,75.0,38.0,20.2,0
166.1,246.5,0.631,530.0,82.9,57.2,29.1,0.0,1
198.0,282.2,0.605,409.0,67.0,65.8,37.7,5.7,1
186.1,239.8,0.85,295.0,69.2,69.3,26.5,6.5,1
196.3,259.4,0.663,170.0,68.6,84.6,40.8,22.6,0
192.6,261.3,0.124,330.0,87.3,83.2,37.2,9.8,0
163.4,226.6,0.763,492.0,80.9,64.9,27.7,0.0,1
168.8,284.7,0.25,194.0,69.2,69.7,22.0,17.3,0
194.9,243.9,0.404,11.0,87.0,54.5,45.8,25.9,0
192.2,223.5,0.563,194.0,86.5,49.6,30.7,15.8,0
179.6,268.8,0.999,489.0,71.7,58.5,27.4,0.0,1
182.3,218.6,1.277,181.0,79.7,84.4,40.3,16.5,0
205.6,251.0,0.652,315.0,86.6,80.6,37.7,0.0,1
168.2,249.7,0.454,29.0,69.7,76.2,39.1,33.0,0
190.9,288.0,0.634,595.0,86.8,56.0,31.4,0.0,1
176.0,266.6,0.722,95.0,83.6,64.2,43.3,17.9,0
175.6,249.1,0.42,380.0,68.0,62.6,24.1,1.7,1
202.0,278.6,0.949,443.0,82.6,70.2,28.7,0.0,1
196.5,298.7,0.558,297.0,84.4,72.25,34.3,8.0,0
196.3,269.5,0.624,360.0,72.5,61.0,39.0,0.3,1
206.1,250.4,0.666,373.0,73.4,75.8,36.0,3.7,1
180.4,204.1,0.605,553.0,67.9,74.5,31.5,0.0,1
193.6,212.7,0.71,302.0,74.6,64.0,29.1,3.6,1
173.8,239.3,0.346,420.0,79.9,75.3,39.0,2.1,1
186.5,228.7,0.36,245.0,73.5,72.25,36.6,13.5,0
177.4,243.5,0.225,236.0,62.2,87.7,26.8,18.4,0
181.9,252.0,0.61,533.0,71.7,77.4,26.6,0.0,1
191.9,268.5,0.695,184.0,75.0,77.1,28.7,14.2,0
163.6,247.5,0.614,467.0,89.8,69.4,28.0,1.7,1
221.8,267.0,0.919,362.0,87.1,83.3,38.2,0.0,1
159.9,252.0,0.499,282.0,90.0,60.2,34.6,13.8,0
155.7,180.9,0.667,552.0,71.1,82.1,35.3,0.0,1
203.2,217.1,0.227,335.0,81.7,68.8,33.2,0.0,1
195.8,245.0,0.403,161.0,50.9,88.4,33.4,16.9,0
192.5,207.7,0.674,159.0,85.1,78.5,22.5,23.8,0
192.6,271.0,0.712,473.0,87.3,71.3,36.8,0.0,1
179.8,303.6,0.427,321.0,75.8,69.4,28.6,9.3,0
162.1,292.7,0.482,11.0,83.5,77.8,31.8,36.7,0
181.5,242.5,0.121,423.0,61.8,77.2,29.2,8.1,0
166.5,302.2,0.411,72.0,70.4,67.6,32.9,26.8,0
199.5,255.2,0.723,587.0,89.2,73.0,35.4,0.0,1
177.1,238.2,0.644,200.0,86.1,81.9,25.9,21.6,0
163.5,228.5,0.625,521.0,75.1,57.0,33.5,0.0,1
173.6,239.4,0.512,504.0,89.7,80.0,29.3,0.0,1
188.3,236.4,0.502,38.0,81.7,77.7,39.9,24.7,0
168.7,256.0,0.335,59.0,73.9,85.1,25.3,30.3,0
163.6,255.6,0.675,577.0,77.8,64.1,26.0,0.0,1
184.9,250.1,0.605,320.0,74.5,72.1,29.8,5.6,1
184.9,265.3,0.623,434.0,65.8,74.3,26.4,0.0,1
169.9,291.7,0.368,407.0,95.1,80.1,30.7,9.8,0
170.6,283.2,0.038,385.0,73.2,76.7,28.8,3.8,1
184.6,198.0,0.774,568.0,70.0,58.4,32.5,0.0,1
151.0,160.6,0.38,77.0,61.6,75.2,38.0,27.1,0
151.9,282.7,0.284,193.0,48.4,94.0,32.4,26.3,0
165.6,202.2,0.673,284.0,88.4,78.7,33.0,15.4,0
175.7,242.1,0.402,526.0,89.5,90.0,25.7,0.0,1
186.2,209.0,0.765,523.0,94.3,83.5,31.2,0.0,1
209.5,186.9,0.654,155.0,78.2,87.0,29.5,17.5,0
197.2,269.0,0.671,339.0,76.1,75.4,36.1,1.4,1
176.8,276.6,0.159,124.0,73.9,77.7,27.4,16.4,0
179.6,229.8,0.803,279.0,75.0,74.8,26.8,13.1,0
159.9,159.3,0.565,127.0,93.4,72.0,33.9,21.7,0
179.6,230.9,0.408,313.0,79.7,80.2,43.9,10.9,0
174.2,263.7,0.536,331.0,84.5,66.3,30.9,8.6,0
186.5,198.2,0.056,149.0,74.7,92.7,33.0,21.1,0
163.5,256.4,0.602,453.0,95.9,61.8,37.7,0.0,1
190.4,249.5,0.243,35.0,57.1,80.9,35.1,24.5,0
210.7,270.3,0.162,419.0,65.4,87.2,35.1,0.0,1
177.8,254.2,0.119,21.0,84.6,70.1,31.4,26.4,0
188.0,215.9,0.778,205.0,101.0,59.8,31.5,15.7,0
193.8,291.9,0.343,355.0,77.3,84.7,27.5,10.1,0
172.0,244.5,0.883,439.0,69.9,74.2,34.9,5.9,1
184.5,249.0,0.366,95.0,92.0,80.9,34.8,24.3,0
180.3,217.3,0.073,163.0,83.9,70.8,36.3,24.2,0
182.0,234.5,0.221,147.0,95.5,91.1,29.1,20.3,0
164.5,219.0,0.809,529.0,64.5,48.7,37.0,0.0,1
180.5,243.9,0.461,293.0,94.5,76.1,38.8,17.7,0
190.0,309.9,0.363,194.0,61.4,86.8,24.7,18.7,0
209.0,202.0,0.54,479.0,76.5,73.2,30.2,0.0,1
199.2,193.5,0.625,122.0,85.0,75.3,39.1,25.3,0
223.1,301.5,0.779,399.0,82.2,67.2,28.1,0.0,1
164.7,242.7,0.862,451.0,92.7,72.2,35.2,0.0,1
197.4,226.6,0.41,103.0,58.1,53.6,32.1,22.6,0
183.7,286.4,0.168,461.0,81.7,64.1,34.0,2.0,1
223.8,228.8,0.397,395.0,94.4,63.3,32.2,0.0,1
163.8,313.9,0.565,336.0,80.7,79.4,36.5,15.7,0
163.2,273.7,0.259,598.0,66.3,65.7,25.9,0.0,1
168.0,232.9,0.261,141.0,92.1,66.0,26.5,18.3,0
137.5,325.5,0.586,316.0,72.2,67.8,40.8,13.1,0
169.5,228.8,0.488,557.0,70.1,63.8,44.6,0.0,1
164.8,276.0,0.508,526.0,68.6,75.0,32.0,0.0,1
183.0,260.5,0.31,555.0,77.6,76.2,42.3,0.0,1
186.8,295.6,0.442,400.0,82.2,81.1,27.4,5.5,1
217.5,304.7,0.269,309.0,64.8,79.2,28.8,5.7,1
199.0,251.1,0.723,494.0,67.2,78.1,40.7,0.0,1
168.5,223.6,0.759,555.0,71.7,68.4,36.8,0.6,1
162.0,266.1,0.038,108.0,68.5,67.7,41.6,33.4,0
189.8,226.3,0.268,371.0,80.4,62.4,34.8,0.0,1
153.6,320.5,0.126,205.0,84.3,62.2,25.9,21.3,0
216.6,254.8,0.337,42.0,82.7,74.1,33.3,29.5,0
203.6,237.2,0.479,244.0,82.7,64.1,39.2,5.6,1
170.6,256.5,0.138,286.0,100.1,88.2,31.2,14.2,0
145.7,202.9,0.27,354.0,85.1,71.6,30.3,14.5,0
207.1,216.0,0.249,475.0,89.4,88.5,34.9,0.0,1
177.7,292.0,0.552,82.0,75.0,78.3,28.6,28.7,0
204.8,227.0,0.517,109.0,91.3,63.5,33.8,13.6,0
148.1,213.4,0.32,189.0,74.5,71.3,32.4,22.5,0
168.0,268.8,0.544,250.0,84.9,53.6,29.1,17.2,0
180.1,291.5,0.363,290.0,63.5,74.1,37.9,0.5,1
180.9,275.2,0.432,200.0,82.0,64.5,35.9,18.5,0
171.0,284.9,0.918,325.0,68.3,59.8,29.9,15.7,0
192.5,223.5,0.835,510.0,91.2,88.7,31.9,0.0,1
158.6,200.2,0.175,408.0,90.5,83.3,30.4,8.3,0
